"GOID"	"Term"	"Ontology"	"p 5' UTR"	"median 5' UTR"	"p 3' UTR"	"median 3' UTR"	"nrGenes"
"GO:0043228"	"non-membrane-bound organelle"	"CC"	1.09245945623115e-13	54	0.984181898141435	92	307
"GO:0043232"	"intracellular non-membrane-bound organelle"	"CC"	1.09245945623115e-13	54	0.984181898141435	92	307
"GO:0030529"	"ribonucleoprotein complex"	"CC"	3.17931903026647e-10	54	0.566852088746978	96.5	162
"GO:0005634"	"nucleus"	"CC"	8.34710767172453e-09	56	0.0072208560481879	81.5	356
"GO:0005622"	"intracellular"	"CC"	1.20649454871113e-08	66	0.0138597830970963	89.5	1760
"GO:0007154"	"cell communication"	"BP"	1.48430243964153e-08	127	0.143766418445612	114.5	74
"GO:0043226"	"organelle"	"CC"	3.19821955585553e-08	65	0.426864321252144	90	1466
"GO:0043229"	"intracellular organelle"	"CC"	3.19821955585553e-08	65	0.426864321252144	90	1466
"GO:0016070"	"RNA metabolism"	"BP"	7.3151633195323e-08	54	0.00832237417211723	80	183
"GO:0005198"	"structural molecule activity"	"MF"	5.04103831788782e-07	55	0.289917941226522	100	107
"GO:0007242"	"intracellular signaling cascade"	"BP"	1.33493791955042e-06	130	0.386436241405771	105	37
"GO:0007165"	"signal transduction"	"BP"	1.83979491581249e-06	122.5	0.515757440945739	104.5	52
"GO:0006396"	"RNA processing"	"BP"	2.11637589120350e-06	53	0.00281539143415444	79	137
"GO:0005743"	"mitochondrial inner membrane"	"CC"	0.0359527612909748	94.5	3.07285682844481e-06	154	40
"GO:0044267"	"cellular protein metabolism"	"BP"	3.30650751911854e-06	59	0.0176180859981510	86	437
"GO:0019538"	"protein metabolism"	"BP"	4.57070261683512e-06	59	0.0184370644626433	87	445
"GO:0007028"	"cytoplasm organization and biogenesis"	"BP"	8.65021281315492e-06	55	0.00845485183051786	78	107
"GO:0042254"	"ribosome biogenesis and assembly"	"BP"	8.65021281315492e-06	55	0.00845485183051786	78	107
"GO:0005840"	"ribosome"	"CC"	1.00352537264481e-05	55	0.513549398360369	100	89
"GO:0006796"	"phosphate metabolism"	"BP"	1.27792240295568e-05	99	0.000883705333232203	122	67
"GO:0016020"	"membrane"	"CC"	2.03361636912531e-05	77	0.0428360872611741	96	381
"GO:0015934"	"large ribosomal subunit"	"CC"	2.74210209894044e-05	52	0.103630493909244	107	44
"GO:0008324"	"cation transporter activity"	"MF"	0.00479880572565716	86.5	2.97806858211056e-05	131	50
"GO:0016773"	"phosphotransferase activity, alcohol group as acceptor"	"MF"	4.09382212339299e-05	129	0.733940508841394	98	43
"GO:0005215"	"transporter activity"	"MF"	4.90730336959918e-05	82	0.00934549718314123	106.5	172
"GO:0006793"	"phosphorus metabolism"	"BP"	5.50471913995788e-05	95	0.00338861793055359	117	70
"GO:0015077"	"monovalent inorganic cation transporter activity"	"MF"	0.172948391440153	77	5.88886214972183e-05	157	27
"GO:0043234"	"protein complex"	"CC"	6.37290860963091e-05	62	0.649685930998318	92	531
"GO:0019887"	"protein kinase regulator activity"	"MF"	8.02302970926636e-05	152	0.465802630306942	122	19
"GO:0015075"	"ion transporter activity"	"MF"	0.00467758217829554	86.5	9.61735963337998e-05	125.5	54
"GO:0051179"	"localization"	"BP"	0.000143967642691955	78	0.934664133974923	90.5	376
"GO:0015078"	"hydrogen ion transporter activity"	"MF"	0.190654849398982	75	0.000146993980997163	149.5	26
"GO:0007046"	"ribosome biogenesis"	"BP"	0.000161568501021003	55	0.0069960812713743	79	87
"GO:0016072"	"rRNA metabolism"	"BP"	0.000166352777203782	52.5	0.00397403445810163	77	76
