chr	strand	start	end	level	category	conserv
1	+	67715	67762	2.87589962094696	novel isolated - filtered	0.9657
2	+	122371	122458	2.45100647444588	novel isolated - filtered	0.98915
2	+	362844	364596	1.65783865894632	novel isolated - filtered	0.9846
4	+	1521079	1522255	0.719406471637748	novel isolated - filtered	0.9262
4	-	411417	411585	1.12200555589372	novel isolated - filtered	0.9928
5	-	8577	9769	1.23885080554583	novel isolated - filtered	0.8728
6	+	54813	55221	1.51907288404494	novel isolated - filtered	0.8837
7	+	555735	555839	3.77161715125684	novel isolated - filtered	0.8663
7	-	196579	196642	3.97406252269979	novel isolated - filtered	0.982
7	-	610403	610467	2.50244478502302	novel isolated - filtered	0.9564
7	-	795684	795731	2.90952804888263	novel isolated - filtered	0.978
9	+	127445	127661	3.56267627271548	novel isolated - filtered	0.9629
9	+	429085	429197	0.801997523700658	novel isolated - filtered	0.96
9	-	339209	339256	4.1402315958417	novel isolated - filtered	0.9641
10	-	172673	172881	1.91949964902804	novel isolated - filtered	0.8537
10	-	620441	620561	1.91027341908753	novel isolated - filtered	0.9955
11	+	321960	322007	2.91710789127299	novel isolated - filtered	0.92805
12	+	415685	415741	2.63716036375932	novel isolated - filtered	0.8738
13	+	349725	349789	2.88808336937752	novel isolated - filtered	0.9403
13	+	625373	625460	4.59062231427430	novel isolated - filtered	0.9074
14	+	104629	104693	3.95345665342714	novel isolated - filtered	0.9382
14	+	263542	263589	2.87930286415461	novel isolated - filtered	0.9919
14	+	478078	478125	3.2199284821414	novel isolated - filtered	0.9449
15	+	87453	87733	3.67269553516378	novel isolated - filtered	0.9328
15	-	216881	217120	0.861010146597874	novel isolated - filtered	0.9676
16	-	582235	582570	2.73704502978815	novel isolated - filtered	0.8891
16	-	829508	829706	1.54591510302118	novel isolated - filtered	0.9768
17	+	5222	5709	1.50276624341461	novel isolated - filtered	0.86085
